PART #,QUANTITY REQURIED,COLUMBIA AUTOMATIC TAPER, LIST PRICE USD ,,
FA238,3,6-32 x 3/16” Fillister Slot, $1.13 ,,
FA239,8,6-32 x ¼” Binder Slot, $0.52 ,,
FA241,6,6-32 x 3/8” Binder Slot, $0.52 ,,
FA243,3,6-32 x 3/8” Flat Slot, $0.52 ,,
FA244,1,6-32 x ½” Pan Slot, $0.52 ,,
FA245,2,6-32 x ½” Fillister Slot, $0.67 ,,
FA248,1,6-32 x 5/8” Flat Slot, $0.52 ,,
FA249,2,8-32 x 3/16” Socket Head Set Screw, $1.44 ,,
FA253,2,#8 Flat Washer, $0.52 ,,
FA254,3,8-32 Nyloc Nut, $1.44 ,,
FA257,1,8-32 x ¼” Fillister Slot, $0.52 ,,
FA258,2,8-32 x ¼” Half Dog Set, $1.44 ,,
FA259,1,8-32 x 5/16” Binder Slot, $0.52 ,,
FA264,1,8-32 x 5/8” Truss Slot, $0.67 ,,
FA265,1,8-32 x ¾” Truss Slot, $0.52 ,,
FA267,1,8-32 x 1 ½” Pan Head, $0.67 ,,
FA277,1,#6 Belleville Washer, $1.44 ,,
FA281,2,10-32 x Nyloc Jam Nut, $1.44 ,,
FA282,2,10-32 x 1” Flat Slot, $1.30 ,,
FA285,1,¼” x ½” Plastic Washer, $1.13 ,,
FA291,1,¼-20 Hex Nut, $1.13 ,,
FA292,1,¼-20 Nyloc Jam Nut, $1.32 ,,
FA293,1,4-40 x ¾” Binder Slot, $0.52 ,,
FA295,3,¼-20 x ½” Flat Head Socket, $0.52 ,,
FA298,1,¼-20  x 7/8” Flat Socket, $0.52 ,,
,,,,,
,,"PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE ",,,
CPT1,1,Predator Head Hard Black Anodized, TBA ,,
CPT103,1,Predator Taper Body, $429.17 ,,
CPT126PA,1,Pump Action Predator Hand Grip Body, TBA ,,
CPT130,1,Predator Extension Shaft, $66.02 ,,
CPT1A,1,Head Mounting Collar, TBA ,,
CPT87,1,Predator Cap, TBA ,,
CT36-BLACK,1,Predator Return Spring Tube, TBA ,,
CT45-BLACK,1,Predator Connecting Rod, TBA ,,
,,,,,
,,"PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE ",,,
CPT124,2,1st Generation PTAPER Guard Ring, TBA ,,
CPT124A,6,Sleeve Brass Insert, TBA ,,
CPT125,6,Predator Rollers, TBA ,,
CPT125A,6,Predator Roller Bushings, TBA ,,
FA363,6,"4-40 X 1"" Socket Head Screw", TBA ,,
