SKU,MPN,Images,match_type,wt_sku,wt_title
CFB5A,CFB5A,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13176/20981/COL-CFB7-7_01_1__31448.1555359150.jpg,name,COLM-CFB7-7,Columbia Corner Box Door Gasket 7&quot; (COLM-CFB7-7)
CFB5C,CFB5C,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13176/20981/COL-CFB7-7_01_1__31448.1555359150.jpg,name,COLM-CFB7-7,Columbia Corner Box Door Gasket 7&quot; (COLM-CFB7-7)
CLT12,CLT12,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18002/26843/CLT__07893.1761240548.jpg,name,COLM-CLT42,Columbia 42 in. Cam Lock Compound Mud Tube
CLT13,CLT13,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18002/26843/CLT__07893.1761240548.jpg,name,COLM-CLT42,Columbia 42 in. Cam Lock Compound Mud Tube
CLT14,CLT14,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18367/28492/nophotoavailablesmall__94933.1632838747.1280.1280__65158.1695062850.jpg,name,COLM-CTA99CL,Columbia Taper Cam Lock Cap Pin Assembly(COLM-CTA99CL)
CLT15,CLT15,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18002/26843/CLT__07893.1761240548.jpg,name,COLM-CLT42,Columbia 42 in. Cam Lock Compound Mud Tube
CLT16,CLT16,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18367/28492/nophotoavailablesmall__94933.1632838747.1280.1280__65158.1695062850.jpg,name,COLM-CTA99CL,Columbia Taper Cam Lock Cap Pin Assembly(COLM-CTA99CL)
CMT1A-22,CMT1A-22,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18002/26843/CLT__07893.1761240548.jpg,proxy,COLM-CLT42,Columbia 42 in. Cam Lock Compound Mud Tube
BH8-3,BH8-3,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18029/27487/columbia-twist-lock-handle__00230.1630693709.jpg,proxy,COLM-TL38,Columbia Twist Lock Handle 3-8 ft.
HH8,HH8,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12097/17596/col-hh10__12398.1555359108.gif,name,COLM-HH10,Columbia Aluminum Hex Extension Tube for Hydra Reach Flat Box Handle (COLM-HH10)
HH10A,HH10A,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12097/17596/col-hh10__12398.1555359108.gif,colm,COLM-HH10,Columbia Aluminum Hex Extension Tube for Hydra Reach Flat Box Handle (COLM-HH10)
HH10-EXTLONG,HH10-EXTLONG,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12097/17596/col-hh10__12398.1555359108.gif,name,COLM-HH10,Columbia Aluminum Hex Extension Tube for Hydra Reach Flat Box Handle (COLM-HH10)
MP27,MP27,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13694/18889/hmp-1__34092.1631130107.jpg,name,COLM-HMP,Columbia Quick Clean Mud Pump
MP27B,MP27B,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13694/18889/hmp-1__34092.1631130107.jpg,name,COLM-HMP,Columbia Quick Clean Mud Pump
MP33A,MP33A,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12457/23572/col-mp34__58790.1555359122.gif,colm,COLM-MP34,Columbia Box Filler Adaptor Body (COLM-MP34)
HNS3,HNS3,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16782/25934/nophotoavailablesmall__93943.1555359299.jpg,name,COLM-HNS14,Columbia Handle Spring for Hinged Nail Spotter (COLM-HNS14)
HNS14PR,HNS14PR,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18245/27837/HNSA14__01171.1649797154.png,name,COLM-HNSA14,Columbia Handle Link Assembly for Hinged Nail Spotter (COLM-HNSA14)
HNS18,HNS18,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16782/25934/nophotoavailablesmall__93943.1555359299.jpg,name,COLM-HNS14,Columbia Handle Spring for Hinged Nail Spotter (COLM-HNS14)
S1,S1,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/14103/22527/COL-CT103_01_1__93254.1555359188.jpg,name,COLM-CT103,Columbia Barrel (Main Aluminium Tube Body) (COLM-CT103)
S2,S2,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16164/21683/COL-FFB19_01_1__74160.1555359271.jpg,name,COLM-FFB19,Columbia Adjuster Pin (6/32 x 1-1/2 Brass Hex Head) (COLM-FFB19)
S4,S4,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17773/24701/sander__24017.1647963628.jpg,proxy,COLM-CS,Columbia Sander with stainless-steel handle adapter
