Brand,WC_Category,Current_SKU,Current_Name,Current_Price,Proposed_Parent_SKU,Proposed_Parent_Name,Attribute_Name,Attribute_Value,From_Price,Action,Notes
Columbia Taping Tools,Repair Kits & Parts,HFFB14-7,"Std Hinged Flat Box Door Gasket 7"" (HFFB14-7)",45.20,HFFB14-GROUP,Std Hinged Flat Box Door Gasket,Size,"7""",$45.20,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFBB14-12,"Hinged Door Gasket 12"" Fat Boy (HFBB14-12)",51.22,HFBB14-GROUP,Hinged Door Gasket Fat Boy,Size,"12""",$51.22,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFBB14-10,"Hinged Door Gasket 10"" Fat Boy (HFBB14-10)",51.22,HFBB14-GROUP,Hinged Door Gasket Fat Boy,Size,"10""",$51.22,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,HFBB14-8,"Hinged Door Gasket 8"" Fat Boy (HFBB14-8)",51.22,HFBB14-GROUP,Hinged Door Gasket Fat Boy,Size,"8""",$51.22,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,COL2.5SF,"2.5"" Standard Flusher (COL2.5SF)",116.99,COL2.5SFGROUP,Standard Flusher,Size,"2.5""",$116.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,COL3SF,"3"" Standard Flusher (COL3SF)",122.99,COL2.5SFGROUP,Standard Flusher,Size,"3""",$116.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,COL3.5SF,"3.5"" Standard Flusher (COL3.5SF)",133.99,COL2.5SFGROUP,Standard Flusher,Size,"3.5""",$116.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,COL2.5DF,"2.5"" Direct Flusher (COL2.5DF)",127.99,COL2.5DFGROUP,Direct Flusher,Size,"2.5""",$127.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,COL3DF,"3"" Direct Flusher (COL3DF)",130.99,COL2.5DFGROUP,Direct Flusher,Size,"3""",$127.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,COL3.5DF,"3.5"" Direct Flusher (COL3.5DF)",146.00,COL2.5DFGROUP,Direct Flusher,Size,"3.5""",$127.99,MERGE → variable product,
Platinum Drywall Tools,Finishing Boxes,PT-BH34,"Platinum 34"" Flat Box Handle (PT-BH34)",90.00,PT-BHGROUP,Platinum Flat Box Handle,Length,"34""",$90.00,MERGE → variable product,
Platinum Drywall Tools,Finishing Boxes,PT-BH42,"Platinum 42"" Flat Box Handle (PT-BH42)",95.00,PT-BHGROUP,Platinum Flat Box Handle,Length,"42""",$90.00,MERGE → variable product,
Platinum Drywall Tools,Finishing Boxes,PT-BH54,"Platinum 54"" Flat Box Handle (PT-BH54)",100.00,PT-BHGROUP,Platinum Flat Box Handle,Length,"54""",$90.00,MERGE → variable product,
Platinum Drywall Tools,Repair Kits & Parts,PT-CT24,"Platinum 24"" Compound Tube (PT-CT24)",150.00,PT-CTGROUP,Platinum Compound Tube,Size,"24""",$150.00,MERGE → variable product,
Platinum Drywall Tools,Repair Kits & Parts,PT-CT36,"Platinum 36"" Compound Tube (PT-CT36)",155.00,PT-CTGROUP,Platinum Compound Tube,Size,"36""",$150.00,MERGE → variable product,
Platinum Drywall Tools,Repair Kits & Parts,PT-CT42,"Platinum 42"" Compound Tube (PT-CT42)",160.00,PT-CTGROUP,Platinum Compound Tube,Size,"42""",$150.00,MERGE → variable product,
TapeTech,Blades & Knives,JK06CSTT,"TapeTech 6"" Premium Carbon Steel Joint Knife (JK06CSTT)",,JK06CSTTGROUP,Tapetech Premium Carbon Steel Joint Knife,Width,"6""",,MERGE → variable product,
TapeTech,Blades & Knives,JK05CSTT,"TapeTech 5"" Premium Carbon Steel Joint Knife (JK05CSTT)",,JK06CSTTGROUP,Tapetech Premium Carbon Steel Joint Knife,Width,"5""",,MERGE → variable product,
TapeTech,Blades & Knives,JK04CSTT,"TapeTech 4"" Premium Carbon Steel Joint Knife (JK04CSTT)",,JK06CSTTGROUP,Tapetech Premium Carbon Steel Joint Knife,Width,"4""",,MERGE → variable product,
TapeTech,Finishing Boxes,PAHC12,"12"" Power Assist MAXXBOX Finishing Box (PAHC12)",,PAHCGROUP,Power Assist Maxxbox Finishing Box,Size,"12""",,MERGE → variable product,
TapeTech,Finishing Boxes,PAHC10,"10"" Power Assist MAXXBOX Finishing Box (PAHC10)",,PAHCGROUP,Power Assist Maxxbox Finishing Box,Size,"10""",,MERGE → variable product,
TapeTech,Finishing Boxes,PAHC07,"7"" Power Assist MAXXBOX Finishing Box (PAHC07)",,PAHCGROUP,Power Assist Maxxbox Finishing Box,Size,"7""",,MERGE → variable product,
TapeTech,Finishing Boxes,EHC10W,"10"" MAXXBOX Extra High Capacity Finishing Box w/ EasyRoll Wheels (EHC10W)",,EHC10WGROUP,Maxxbox Extra High Capacity Finishing Box W/ Easyroll Wheels,Size,"10""",,MERGE → variable product,
TapeTech,Finishing Boxes,EHC12W,"12"" MAXXBOX Extra High Capacity Finishing Box w/ EasyRoll Wheels (EHC12W)",,EHC10WGROUP,Maxxbox Extra High Capacity Finishing Box W/ Easyroll Wheels,Size,"12""",,MERGE → variable product,
TapeTech,Finishing Boxes,EHC07W,"7"" MAXXBOX Extra High Capacity Finishing Box w/ EasyRoll Wheels (EHC07W)",,EHC10WGROUP,Maxxbox Extra High Capacity Finishing Box W/ Easyroll Wheels,Size,"7""",,MERGE → variable product,
TapeTech,Repair Kits & Parts,CT42TT,"42"" Compound Tube - Semi-Automatic (CT42TT)",,CT42TTGROUP,Compound Tube - Semi-Automatic,Size,"42""",,MERGE → variable product,
TapeTech,Repair Kits & Parts,CT24TT,"24"" Compound Tube - Semi-Automatic (CT24TT)",,CT42TTGROUP,Compound Tube - Semi-Automatic,Size,"24""",,MERGE → variable product,
TapeTech,Repair Kits & Parts,CT36TT,"36"" Compound Tube - Semi-Automatic (CT36TT)",,CT42TTGROUP,Compound Tube - Semi-Automatic,Size,"36""",,MERGE → variable product,
TapeTech,Repair Kits & Parts,804234,"34"" Connector Assembly (804234)",,VAR-804234,Connector Assembly,Size,"34""",,MERGE → variable product,
TapeTech,Repair Kits & Parts,804242,"42"" Connector Assembly (804242)",,VAR-804234,Connector Assembly,Size,"42""",,MERGE → variable product,
TapeTech,Repair Kits & Parts,804272,"72"" Connector Assembly (804272)",,VAR-804234,Connector Assembly,Size,"72""",,MERGE → variable product,
Asgard,Corner & Angle Tools,4I-SJ80-1WRW,"Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) (4I-SJ80-1WRW)",430.00,4I-SJ80-1WRWGROUP,Asgard Angle Box W/ Handle,Length,"8""",$373.99,MERGE → variable product,
Asgard,Corner & Angle Tools,4K-S6F6-8HQ6,"Asgard Angle Box w/ Handle (8"" w/ Fixed Handle) (4K-S6F6-8HQ6)",373.99,4I-SJ80-1WRWGROUP,Asgard Angle Box W/ Handle,Length,"8""",$373.99,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,809526-A,"Columbia 1/4-20 x 2"" Hex Bolt (809526-A)",,809526-AGROUP,Columbia 1/4-20 X Hex Bolt,Size,"2""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FA300,"Columbia 1/4-20 x 2"" Hex Bolt (FA300)",,809526-AGROUP,Columbia 1/4-20 X Hex Bolt,Size,"2""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,59091-A2,"Columbia 6-32 x 1/2"" Fill. Head Screw (59091-A2)",,59091-AGROUP,Columbia 6-32 X 1/ Fill. Head Screw,Size,"2""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FA245,"Columbia 6-32 x 1/2"" Fill. Head Screw (FA245)",,59091-AGROUP,Columbia 6-32 X 1/ Fill. Head Screw,Size,"2""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FA201,"Columbia 1/16"" x 3/8"" Split Pin (FA201)",,FAGROUP,Columbia 1/ X 3/ Split Pin,Size,"16""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FA224,"Columbia 1/8"" x 3/8"" Split Pin (FA224)",,FAGROUP,Columbia 1/ X 3/ Split Pin,Size,"8""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FA379,"Columbia 1/4"" E-Clip for Matrix Handle (FA379)",,FAGROUP,Columbia 1/ E-Clip For Matrix Handle,Length,"4""",,MERGE → variable product,
Columbia Taping Tools,Repair Kits & Parts,FA380,"Columbia 1/8"" E-Clip for Matrix Handle (FA380)",,FAGROUP,Columbia 1/ E-Clip For Matrix Handle,Length,"8""",,MERGE → variable product,
