"Brand","Part Name","SKU","Description","Price","Correlated/Linked Tool Schematic Diagram","Schematic Diagram Label ID (Hotspots call out label on corresponding schematic diagram image)","Image/s urls"
"Level5","Dial Adjustment Nut","N/A","Dial Adjustment Nut","$5.84","10-inch-Mega-Flat-Box-4-768.pdf","46 @ 10-inch-Mega-Flat-Box-4-768.pdf",""
"Level5","Brass Pins","N/A","Brass Pins","$11.24","10-inch-Mega-Flat-Box-4-768.pdf","47 @ 10-inch-Mega-Flat-Box-4-768.pdf",""
"Level5","FB 12in MEGA Front Plate","9599","FB 12in MEGA Front Plate","$65.00","12-inch-Mega-Box-4-769.pdf","6 @ 12-inch-Mega-Box-4-769.pdf",""
"Level5","12in MEGA Bottom Plate","9622","12in MEGA Bottom Plate","$65.00","12-inch-Mega-Box-4-769.pdf","17 @ 12-inch-Mega-Box-4-769.pdf",""
"Level5","Pump Foot Bracket","9751","Pump Foot Bracket","$120.00","4-771-Pump.pdf; Compound-Pump-4-771.pdf","1 @ 4-771-Pump.pdf; 1 @ Compound-Pump-4-771.pdf",""
"Level5","Wrench","7550","Wrench","$5.39","4-771-Pump.pdf; Compound-Pump-4-771.pdf","2 @ 4-771-Pump.pdf; 2 @ Compound-Pump-4-771.pdf",""
"Level5","Screw","7551","Screw","$0.89","4-771-Pump.pdf; Compound-Pump-4-771.pdf","3 @ 4-771-Pump.pdf; 3 @ Compound-Pump-4-771.pdf",""
"Level5","Wrench Bracket","7554","Wrench Bracket","$5.00","4-771-Pump.pdf; Compound-Pump-4-771.pdf","4 @ 4-771-Pump.pdf; 4 @ Compound-Pump-4-771.pdf",""
"Level5","1/4-20 Lock Nut","7364","1/4-20 Lock Nut","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","5 @ 4-771-Pump.pdf; 5 @ Compound-Pump-4-771.pdf",""
"Level5","Pump Link","9334","Pump Link","$34.19","4-771-Pump.pdf; Compound-Pump-4-771.pdf","6 @ 4-771-Pump.pdf; 6 @ Compound-Pump-4-771.pdf",""
"Level5","Black Plastic Washer (Link)","7553","Black Plastic Washer (Link)","$3.14","4-771-Pump.pdf; Compound-Pump-4-771.pdf","7 @ 4-771-Pump.pdf; 7 @ Compound-Pump-4-771.pdf",""
"Level5","Metal Link Washer","7555","Metal Link Washer","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","8 @ 4-771-Pump.pdf; 8 @ Compound-Pump-4-771.pdf",""
"Level5","1/4-20x2 Hex Head Screw","7363","1/4-20x2 Hex Head Screw","$4.49","4-771-Pump.pdf; Compound-Pump-4-771.pdf","9 @ 4-771-Pump.pdf; 9 @ Compound-Pump-4-771.pdf",""
"Level5","Quick Release Pin","7622","Quick Release Pin","$20.24","4-771-Pump.pdf; Compound-Pump-4-771.pdf","10 @ 4-771-Pump.pdf; 10 @ Compound-Pump-4-771.pdf; 11 @ Compound-Pump-4-771.pdf",""
"Level5","Pump Handle Nut","7339","Pump Handle Nut","N/A","4-771-Pump.pdf","11 @ 4-771-Pump.pdf",""
"Level5","Handle Ball","7347","Handle Ball","$23.39","4-771-Pump.pdf; Compound-Pump-4-771.pdf","12 @ 4-771-Pump.pdf; 12 @ Compound-Pump-4-771.pdf",""
"Level5","Pumpball Screw","7128","Pumpball Screw","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","13 @ 4-771-Pump.pdf; 13 @ Compound-Pump-4-771.pdf",""
"Level5","Pump Handle","7738","Pump Handle","N/A","4-771-Pump.pdf; Compound-Pump-4-771.pdf","14 @ 4-771-Pump.pdf; 14 @ Compound-Pump-4-771.pdf",""
"Level5","5/16-18 x 7/8 Hex Head Screw","7341","5/16-18 x 7/8 Hex Head Screw","$3.00","4-771-Pump.pdf; Compound-Pump-4-771.pdf","15 @ 4-771-Pump.pdf; 15 @ Compound-Pump-4-771.pdf",""
"Level5","5/16 Lockwasher","7342","5/16 Lockwasher","$1.00","4-771-Pump.pdf; Compound-Pump-4-771.pdf","16 @ 4-771-Pump.pdf; 16 @ Compound-Pump-4-771.pdf",""
"Level5","Pump O-Ring","7633","Pump O-Ring","$3.14","4-771-Pump.pdf; Compound-Pump-4-771.pdf","17 @ 4-771-Pump.pdf; 17 @ Compound-Pump-4-771.pdf",""
"Level5","Pump Head","9635","Pump Head","$114.74","4-771-Pump.pdf; Compound-Pump-4-771.pdf","18 @ 4-771-Pump.pdf; 18 @ Compound-Pump-4-771.pdf",""
"Level5","U-Seal","7324","U-Seal","$4.49","4-771-Pump.pdf; Compound-Pump-4-771.pdf","19 @ 4-771-Pump.pdf; 19 @ Compound-Pump-4-771.pdf",""
"Level5","Gland","7323","Gland","$32.84","4-771-Pump.pdf; Compound-Pump-4-771.pdf","20 @ 4-771-Pump.pdf; 20 @ Compound-Pump-4-771.pdf",""
"Level5","Bushing Liner","7345","Bushing Liner","$3.14","4-771-Pump.pdf; Compound-Pump-4-771.pdf","21 @ 4-771-Pump.pdf; 21 @ Compound-Pump-4-771.pdf",""
"Level5","1/4-20 x 5/8 Socket Head Screw","7325","1/4-20 x 5/8 Socket Head Screw","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","22 @ 4-771-Pump.pdf; 22 @ Compound-Pump-4-771.pdf",""
"Level5","5/16-24 Hex Head","7326","5/16-24 Hex Head","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","23 @ 4-771-Pump.pdf; 23 @ Compound-Pump-4-771.pdf",""
"Level5","5-16-24 x 1 7/16 Std Screw","7352","5-16-24 x 1 7/16 Std Screw","$11.24","4-771-Pump.pdf; Compound-Pump-4-771.pdf","24 @ 4-771-Pump.pdf; 24 @ Compound-Pump-4-771.pdf",""
"Level5","Gasket","7362","Gasket","$5.84","4-771-Pump.pdf; Compound-Pump-4-771.pdf","25 @ 4-771-Pump.pdf; 25 @ Compound-Pump-4-771.pdf",""
"Level5","Filler Body","7355","Filler Body","$54.44","4-771-Pump.pdf; Compound-Pump-4-771.pdf","26 @ 4-771-Pump.pdf; 26 @ Compound-Pump-4-771.pdf",""
"Level5","Special Nut","7353","Special Nut","$11.24","4-771-Pump.pdf; Compound-Pump-4-771.pdf","27 @ 4-771-Pump.pdf; 27 @ Compound-Pump-4-771.pdf",""
"Level5","Filler O'Ring","7350","Filler O'Ring","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","28 @ 4-771-Pump.pdf; 28 @ Compound-Pump-4-771.pdf",""
"Level5","Chain Assembly (W/ 1 S Hook)","7358","Chain Assembly (W/ 1 S Hook)","$20.24","4-771-Pump.pdf; Compound-Pump-4-771.pdf","30 @ 4-771-Pump.pdf; 30 @ Compound-Pump-4-771.pdf",""
"Level5","Discharge Tube","7356","Discharge Tube","$27.44","4-771-Pump.pdf; Compound-Pump-4-771.pdf","31 @ 4-771-Pump.pdf; 31 @ Compound-Pump-4-771.pdf",""
"Level5","Piston Rod","7321","Piston Rod","$58.49","4-771-Pump.pdf; Compound-Pump-4-771.pdf","32 @ 4-771-Pump.pdf; 32 @ Compound-Pump-4-771.pdf",""
"Level5","Valve Disc","7329","Valve Disc","$8.54","4-771-Pump.pdf; Compound-Pump-4-771.pdf","33 @ 4-771-Pump.pdf; 33 @ Compound-Pump-4-771.pdf",""
"Level5","Retainer","7359","Retainer","$9.89","4-771-Pump.pdf; Compound-Pump-4-771.pdf","34 @ 4-771-Pump.pdf; 34 @ Compound-Pump-4-771.pdf",""
"Level5","Piston Cups","7328","Piston Cups","$12.59","4-771-Pump.pdf; Compound-Pump-4-771.pdf","35 @ 4-771-Pump.pdf; 35 @ Compound-Pump-4-771.pdf",""
"Level5","Retainer, Large","7327","Retainer, Large","$13.94","4-771-Pump.pdf; Compound-Pump-4-771.pdf","36 @ 4-771-Pump.pdf; 36 @ Compound-Pump-4-771.pdf",""
"Level5","Lock Clip","7360","Lock Clip","$4.49","4-771-Pump.pdf; Compound-Pump-4-771.pdf","37 @ 4-771-Pump.pdf; 37 @ Compound-Pump-4-771.pdf",""
"Level5","3/8-16 Lock Nut","7343","3/8-16 Lock Nut","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","38 @ 4-771-Pump.pdf; 38 @ Compound-Pump-4-771.pdf",""
"Level5","8-32 x 3/16 BH Screw","7625","8-32 x 3/16 BH Screw","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","39 @ 4-771-Pump.pdf; 39 @ Compound-Pump-4-771.pdf",""
"Level5","Pump Tube","9624","Pump Tube","$162.44","4-771-Pump.pdf; Compound-Pump-4-771.pdf","41 @ 4-771-Pump.pdf; 41 @ Compound-Pump-4-771.pdf",""
"Level5","Metal Washer","7556","Metal Washer","$1.79","4-771-Pump.pdf; Compound-Pump-4-771.pdf","43 @ 4-771-Pump.pdf; 43 @ Compound-Pump-4-771.pdf",""
"Level5","Foot Valve Spacer","7557","Foot Valve Spacer","$7.19","4-771-Pump.pdf; Compound-Pump-4-771.pdf","44 @ 4-771-Pump.pdf; 44 @ Compound-Pump-4-771.pdf",""
"Level5","Pin","7621","Pin","$20.69","4-771-Pump.pdf; Compound-Pump-4-771.pdf","45 @ 4-771-Pump.pdf; 45 @ Compound-Pump-4-771.pdf",""
"Level5","Pump Tube Foot","9330","Pump Tube Foot","$17.09","4-771-Pump.pdf; Compound-Pump-4-771.pdf","46 @ 4-771-Pump.pdf; 46 @ Compound-Pump-4-771.pdf",""
"Level5","Screw","7558","Screw","$0.89","4-771-Pump.pdf; Compound-Pump-4-771.pdf","47 @ 4-771-Pump.pdf; 47 @ Compound-Pump-4-771.pdf",""
"Level5","Screen for New Pump","9348","Screen for New Pump","$5.39","4-771-Pump.pdf; Compound-Pump-4-771.pdf","48 @ 4-771-Pump.pdf; 48 @ Compound-Pump-4-771.pdf",""
"Level5","Pump Foot Valve Assembly","9331","Pump Foot Valve Assembly","$74.69","4-771-Pump.pdf","49 @ 4-771-Pump.pdf",""
"Level5","CF Screw 6-32x15","9510","CF Screw 6-32x15","$4.49","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","1 @ 2.5-inch-Corner-Finisher-4-732.pdf; 1 @ 4-734-3.5-Corner-Finisher.pdf; 1 @ 4-735-4-Corner-Finisher.pdf; 1 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF SS Flat Washer","9511","CF SS Flat Washer","$4.49","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","2 @ 2.5-inch-Corner-Finisher-4-732.pdf; 2 @ 4-734-3.5-Corner-Finisher.pdf; 2 @ 4-735-4-Corner-Finisher.pdf; 2 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Rubber Tire","9512","CF Rubber Tire","$1.79","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","3 @ 2.5-inch-Corner-Finisher-4-732.pdf; 3 @ 4-734-3.5-Corner-Finisher.pdf; 3 @ 4-735-4-Corner-Finisher.pdf; 3 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Wheel Bushing","9513","CF Wheel Bushing","$5.84","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","4 @ 2.5-inch-Corner-Finisher-4-732.pdf; 4 @ 4-734-3.5-Corner-Finisher.pdf; 4 @ 4-735-4-Corner-Finisher.pdf; 4 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","Finisher Wheels","9514","Finisher Wheels","$12.59","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","5 @ 2.5-inch-Corner-Finisher-4-732.pdf; 5 @ 4-734-3.5-Corner-Finisher.pdf; 5 @ 4-735-4-Corner-Finisher.pdf; 5 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Slotted Screw 8-32 x 6.35","7190","CF Slotted Screw 8-32 x 6.35","$1.79","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","6 @ 2.5-inch-Corner-Finisher-4-732.pdf; 8 @ 4-734-3.5-Corner-Finisher.pdf; 8 @ 4-735-4-Corner-Finisher.pdf; 8 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Bottom Clip 2.5in & 3in","9192","CF Bottom Clip 2.5in & 3in","$15.29","2.5-inch-Corner-Finisher-4-732.pdf; 3-inch-Corner-Finisher-4-733.pdf","7 @ 2.5-inch-Corner-Finisher-4-732.pdf; 9 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 2.5in Body","9702","CF 2.5in Body","N/A","2.5-inch-Corner-Finisher-4-732.pdf","8 @ 2.5-inch-Corner-Finisher-4-732.pdf",""
"Level5","CF 2.5in Left Frame","9714","CF 2.5in Left Frame","$82.00","2.5-inch-Corner-Finisher-4-732.pdf","9 @ 2.5-inch-Corner-Finisher-4-732.pdf",""
"Level5","CF 2.5in and 3in Skid","9189","CF 2.5in and 3in Skid","$20.69","2.5-inch-Corner-Finisher-4-732.pdf; 3-inch-Corner-Finisher-4-733.pdf","10 @ 2.5-inch-Corner-Finisher-4-732.pdf; 12 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 6-32 x 1/8 SS Hex","9191","CF 6-32 x 1/8 SS Hex","$1.79","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","11 @ 2.5-inch-Corner-Finisher-4-732.pdf; 13 @ 4-734-3.5-Corner-Finisher.pdf; 13 @ 4-735-4-Corner-Finisher.pdf; 13 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 2.5in Blade","9706","CF 2.5in Blade","$24.74","2.5-inch-Corner-Finisher-4-732.pdf","12 @ 2.5-inch-Corner-Finisher-4-732.pdf",""
"Level5","CF Frame Tabs","9509","CF Frame Tabs","$3.14","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","13 @ 2.5-inch-Corner-Finisher-4-732.pdf; 7 @ 4-734-3.5-Corner-Finisher.pdf; 15 @ 4-734-3.5-Corner-Finisher.pdf; 15 @ 4-735-4-Corner-Finisher.pdf; 15 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Screw","9508","CF Screw","$1.79","2.5-inch-Corner-Finisher-4-732.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","14 @ 2.5-inch-Corner-Finisher-4-732.pdf; 7 @ 4-735-4-Corner-Finisher.pdf; 7 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Top Clip 2.5in & 3in","9195","CF Top Clip 2.5in & 3in","$8.54","2.5-inch-Corner-Finisher-4-732.pdf; 3-inch-Corner-Finisher-4-733.pdf","15 @ 2.5-inch-Corner-Finisher-4-732.pdf; 17 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 2.5in Spring","9524","CF 2.5in Spring","$8.00","2.5-inch-Corner-Finisher-4-732.pdf","16 @ 2.5-inch-Corner-Finisher-4-732.pdf",""
"Level5","CF Ball Locking Clip","7741","CF Ball Locking Clip","$23.39","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","17 @ 2.5-inch-Corner-Finisher-4-732.pdf; 20 @ 4-734-3.5-Corner-Finisher.pdf; 20 @ 4-735-4-Corner-Finisher.pdf; 20 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Lock Clip Spring","7740","CF Lock Clip Spring","$1.79","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","18 @ 2.5-inch-Corner-Finisher-4-732.pdf; 6 @ 4-734-3.5-Corner-Finisher.pdf; 6 @ 4-735-4-Corner-Finisher.pdf; 6 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Locking Clip Tab","7742","CF Locking Clip Tab","$15.29","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","19 @ 2.5-inch-Corner-Finisher-4-732.pdf; 21 @ 4-734-3.5-Corner-Finisher.pdf; 21 @ 4-735-4-Corner-Finisher.pdf; 21 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","Insert Socket","7183","Insert Socket","$27.44","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","21 @ 2.5-inch-Corner-Finisher-4-732.pdf; 23 @ 4-734-3.5-Corner-Finisher.pdf; 23 @ 4-735-4-Corner-Finisher.pdf; 23 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 6-32 X 1/4 Bind Head Screw SST","7312","CF 6-32 X 1/4 Bind Head Screw SST","$1.79","2.5-inch-Corner-Finisher-4-732.pdf; 4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf; 2-inch-Nail-Spotter-4-754-old-style.pdf","22 @ 2.5-inch-Corner-Finisher-4-732.pdf; 24 @ 4-734-3.5-Corner-Finisher.pdf; 24 @ 4-735-4-Corner-Finisher.pdf; 24 @ 3-inch-Corner-Finisher-4-733.pdf; 8 @ 2-inch-Nail-Spotter-4-754-old-style.pdf",""
"Level5","CF 2.5in Right Frame","9708","CF 2.5in Right Frame","$111.14","2.5-inch-Corner-Finisher-4-732.pdf","23 @ 2.5-inch-Corner-Finisher-4-732.pdf",""
"Level5","CF Buttom Clip 3.5in & 4in","9196","CF Buttom Clip 3.5in & 4in","$15.29","4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf","9 @ 4-734-3.5-Corner-Finisher.pdf; 9 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","CF 3.5in Body","9807","CF 3.5in Body","$129.99","4-734-3.5-Corner-Finisher.pdf","10 @ 4-734-3.5-Corner-Finisher.pdf",""
"Level5","CF 3.5in Left Frame","9803","CF 3.5in Left Frame","$27.44","4-734-3.5-Corner-Finisher.pdf","11 @ 4-734-3.5-Corner-Finisher.pdf",""
"Level5","CF 3.5in & 4in Skids","9525","CF 3.5in & 4in Skids","$22.04","4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf","12 @ 4-734-3.5-Corner-Finisher.pdf; 12 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","CF 3.5in Blade","9815","CF 3.5in Blade","$40.94","4-734-3.5-Corner-Finisher.pdf","14 @ 4-734-3.5-Corner-Finisher.pdf",""
"Level5","Spring Tension Pin -CF","9501","Spring Tension Pin -CF","$7.19","4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf; 3-inch-Corner-Finisher-4-733.pdf","16 @ 4-734-3.5-Corner-Finisher.pdf; 16 @ 4-735-4-Corner-Finisher.pdf; 16 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Top Clip 3.5in & 4in","9197","CF Top Clip 3.5in & 4in","$8.54","4-734-3.5-Corner-Finisher.pdf; 4-735-4-Corner-Finisher.pdf","17 @ 4-734-3.5-Corner-Finisher.pdf; 17 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","CF Spring (Small)","9522","CF Spring (Small)","$11.24","4-734-3.5-Corner-Finisher.pdf","18 @ 4-734-3.5-Corner-Finisher.pdf",""
"Level5","CF 3.5in Spring (Big)","9523","CF 3.5in Spring (Big)","$12.59","4-734-3.5-Corner-Finisher.pdf","19 @ 4-734-3.5-Corner-Finisher.pdf",""
"Level5","CF 3.5in Right Frame","9817","CF 3.5in Right Frame","$27.44","4-734-3.5-Corner-Finisher.pdf","25 @ 4-734-3.5-Corner-Finisher.pdf",""
"Level5","4in CF Body","7546","4in CF Body","N/A","4-735-4-Corner-Finisher.pdf","10 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","4in CF Left Frame","7544","4in CF Left Frame","$100.00","4-735-4-Corner-Finisher.pdf","11 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","4in Blade-Corner Finisher","9816","4in Blade-Corner Finisher","$47.69","4-735-4-Corner-Finisher.pdf","14 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","4in Small Spring- CF","9526","4in Small Spring- CF","$11.24","4-735-4-Corner-Finisher.pdf","18 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","4in Large Spring - CF","9527","4in Large Spring - CF","$12.59","4-735-4-Corner-Finisher.pdf","19 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","4in Right Frame","7545","4in Right Frame","$100.00","4-735-4-Corner-Finisher.pdf","25 @ 4-735-4-Corner-Finisher.pdf",""
"Level5","CF 3in Body","9183","CF 3in Body","N/A","3-inch-Corner-Finisher-4-733.pdf","10 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 3in Left Frame","9193","CF 3in Left Frame","$94.00","3-inch-Corner-Finisher-4-733.pdf","11 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 3in Blade","9188","CF 3in Blade","$34.19","3-inch-Corner-Finisher-4-733.pdf","14 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF Spring (small)","9520","CF Spring (small)","$5.39","3-inch-Corner-Finisher-4-733.pdf","18 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 3in Spring (Big)","9521","CF 3in Spring (Big)","$5.99","3-inch-Corner-Finisher-4-733.pdf","19 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","CF 3in Right Frame","9194","CF 3in Right Frame","$94.00","3-inch-Corner-Finisher-4-733.pdf","25 @ 3-inch-Corner-Finisher-4-733.pdf",""
"Level5","C.A. Cone","9317","C.A. Cone","$121.94","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","2 @ 7-inch-Corner-Applicator-4-701.pdf; 2 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","02 Rubber","7520","02 Rubber","$3.14","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","3 @ 7-inch-Corner-Applicator-4-701.pdf; 3 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","10 Rubber","7521","10 Rubber","$0.89","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","5 @ 7-inch-Corner-Applicator-4-701.pdf; 5 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","Flat Black Rubber","7522","Flat Black Rubber","$8.54","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","6 @ 7-inch-Corner-Applicator-4-701.pdf; 6 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","#10-32 X1/2in , BHC Screw","8261","#10-32 X1/2in , BHC Screw","$1.79","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","7 @ 7-inch-Corner-Applicator-4-701.pdf; 7 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","7in Applicator Pressure Plate","9318","7in Applicator Pressure Plate","$27.44","7-inch-Corner-Applicator-4-701.pdf","8 @ 7-inch-Corner-Applicator-4-701.pdf",""
"Level5","5/16 - 18 3/4 Thumbscrew, SS","7378","5/16 - 18 3/4 Thumbscrew, SS","$7.19","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","9 @ 7-inch-Corner-Applicator-4-701.pdf; 9 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","Bearing, 5L7D-642","7409","Bearing, 5L7D-642","$3.14","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf; Corner-Roller-4-707.pdf","10 @ 7-inch-Corner-Applicator-4-701.pdf; 10 @ 8-inch-Corner-Applicator-4-702-.pdf; 4 @ Corner-Roller-4-707.pdf",""
"Level5","Pivot Bearing","9315","Pivot Bearing","$13.94","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","11 @ 7-inch-Corner-Applicator-4-701.pdf; 11 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","Corner Applicator Bracket","9314","Corner Applicator Bracket","$40.94","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","12 @ 7-inch-Corner-Applicator-4-701.pdf; 12 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","Wiper Seal 7in","9312","Wiper Seal 7in","$24.74","7-inch-Corner-Applicator-4-701.pdf","13 @ 7-inch-Corner-Applicator-4-701.pdf",""
"Level5","Valve Sleeve","7414","Valve Sleeve","$20.00","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","15 @ 7-inch-Corner-Applicator-4-701.pdf; 15 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","Valve Holder","8316","Valve Holder","$18.00","7-inch-Corner-Applicator-4-701.pdf; 8-inch-Corner-Applicator-4-702-.pdf","18 @ 7-inch-Corner-Applicator-4-701.pdf; 18 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","7in Applicator Body","8310","7in Applicator Body","N/A","7-inch-Corner-Applicator-4-701.pdf","22 @ 7-inch-Corner-Applicator-4-701.pdf",""
"Level5","8in Applicator Pressure Plate","9319","8in Applicator Pressure Plate","$34.19","8-inch-Corner-Applicator-4-702-.pdf","8 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","8in App. Gasket","9313","8in App. Gasket","$24.74","8-inch-Corner-Applicator-4-702-.pdf","13 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","8in Applicator Body","8311","8in Applicator Body","N/A","8-inch-Corner-Applicator-4-702-.pdf","22 @ 8-inch-Corner-Applicator-4-702-.pdf",""
"Level5","1/4-20x1-1/4in HH Screw","7203","1/4-20x1-1/4in HH Screw","$4.49","Corner-Roller-4-707.pdf","1 @ Corner-Roller-4-707.pdf",""
"Level5","Roller Wheel","7225","Roller Wheel","$13.94","Corner-Roller-4-707.pdf","3 @ Corner-Roller-4-707.pdf",""
"Level5","Roller Bushing","7202","Roller Bushing","$3.14","Corner-Roller-4-707.pdf","5 @ Corner-Roller-4-707.pdf",""
"Level5","Washer","7221","Washer","N/A","Corner-Roller-4-707.pdf","6 @ Corner-Roller-4-707.pdf",""
"Level5","Trust Washer","7200","Trust Washer","$4.49","Corner-Roller-4-707.pdf","7 @ Corner-Roller-4-707.pdf",""
"Level5","8-32 x 5/16 Setscrew","7069","8-32 x 5/16 Setscrew","$3.59","Corner-Roller-4-707.pdf","8 @ Corner-Roller-4-707.pdf",""
"Level5","Corner Roller Body","7421","Corner Roller Body","N/A","Corner-Roller-4-707.pdf","9 @ Corner-Roller-4-707.pdf",""
