rel_path,keep,reason,clean_bg,human_likely,white_trans_ratio,border_clean_ratio,skin_ratio,skin_border_ratio
tapetech_ccage09_08.webp,True,keep_clean_bg,True,False,0.952759,1.0,0.013794,0.0
tapetech_ccage09_09.webp,True,keep_clean_bg,True,False,0.951355,1.0,0.01239,0.0
tapetech_ccage09_10.webp,True,keep_clean_bg,True,False,0.95343,1.0,0.009705,0.0
tapetech_ccage12_01.webp,True,keep_clean_bg,True,False,0.921082,1.0,0.014343,0.0
tapetech_ccage12_02.webp,True,keep_clean_bg,True,False,0.942078,1.0,0.013306,0.0
tapetech_ccage12_03.webp,True,keep_clean_bg,True,False,0.941956,1.0,0.014221,0.0
tapetech_ccage12_04.webp,True,keep_clean_bg,True,False,0.941284,1.0,0.014221,0.0
tapetech_ccage12_05.webp,True,keep_clean_bg,True,False,0.942993,1.0,0.013489,0.0
tapetech_ccage12_06.webp,True,keep_clean_bg,True,False,0.942322,1.0,0.013367,0.0
tapetech_ccage12_07.webp,True,keep_clean_bg,True,False,0.942261,1.0,0.01416,0.0
tapetech_ccage12_08.webp,True,keep_clean_bg,True,False,0.941345,1.0,0.014343,0.0
tapetech_ccage12_09.webp,True,keep_clean_bg,True,False,0.942932,1.0,0.013367,0.0
tapetech_cfatt_01.webp,True,keep_clean_bg,True,False,0.767883,1.0,0.0,0.0
tapetech_cfatt_02.webp,True,keep_clean_bg,True,False,0.841919,1.0,0.0,0.0
tapetech_cfatt_03.webp,False,remove_non_clean_bg,False,False,0.00061,0.000667,0.0,0.0
tapetech_ch55tt_01.webp,False,remove_non_clean_bg,False,False,0.462708,0.960667,0.0,0.0
tapetech_ch55tt_02.webp,False,remove_non_clean_bg,False,False,0.377991,0.836,0.0,0.0
tapetech_ch55tt_03.webp,True,keep_clean_bg,True,False,0.764832,0.981333,0.0,0.0
tapetech_ch55tt_04.webp,False,remove_human_and_non_clean_bg,False,True,0.0,0.0,0.120056,0.095333
tapetech_ch55tt_05.webp,False,remove_non_clean_bg,False,False,0.437317,0.562,0.0,0.0
tapetech_ch55tt_06.webp,False,remove_non_clean_bg,False,False,0.547363,1.0,0.0,0.0
tapetech_ch55tt_07.webp,False,remove_non_clean_bg,False,False,0.374695,0.224667,0.0,0.0
tapetech_ch55tt_08.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.022888,0.016667
tapetech_ch55tt_09.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.099426,0.052
tapetech_ch55tt_10.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.032104,0.071333
tapetech_ch75tt_01.webp,False,remove_non_clean_bg,False,False,0.451294,0.984667,0.0,0.0
tapetech_ch75tt_02.webp,False,remove_non_clean_bg,False,False,0.201904,0.798667,0.0,0.0
tapetech_ch75tt_03.webp,True,keep_clean_bg,True,False,0.811157,0.987333,0.0,0.0
tapetech_ch75tt_04.webp,False,remove_non_clean_bg,False,False,0.459595,0.606667,0.0,0.0
tapetech_ch75tt_05.webp,False,remove_non_clean_bg,False,False,0.449402,0.938667,0.0,0.0
tapetech_ch75tt_06.webp,False,remove_non_clean_bg,False,False,0.407898,0.331333,0.0,0.0
tapetech_ch75tt_07.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.05658,0.024
tapetech_ch75tt_08.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.029297,0.070667
tapetech_ch83tt_01.webp,False,remove_non_clean_bg,False,False,0.437927,0.969333,0.0,0.0
tapetech_ch83tt_02.webp,False,remove_non_clean_bg,False,False,0.126221,0.756,0.0,0.0
tapetech_ch83tt_03.webp,True,keep_clean_bg,True,False,0.825256,0.988667,0.0,0.0
tapetech_ch83tt_04.webp,False,remove_non_clean_bg,False,False,0.273804,0.477333,0.0,0.0
tapetech_ch83tt_05.webp,False,remove_non_clean_bg,False,False,0.224976,0.593333,0.0,0.0
tapetech_ch83tt_06.webp,False,remove_non_clean_bg,False,False,0.359863,0.214667,0.0,0.0
tapetech_ch83tt_07.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.02832,0.016667
tapetech_ch83tt_08.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.093323,0.057333
tapetech_ch83tt_09.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.026978,0.07
tapetech_ch90tt_01.webp,False,remove_non_clean_bg,False,False,0.417725,0.972,0.0,0.0
tapetech_ch90tt_02.webp,False,remove_non_clean_bg,False,False,0.059509,0.561333,0.0,0.0
tapetech_ch90tt_03.webp,True,keep_clean_bg,True,False,0.829651,0.978667,0.0,0.0
tapetech_ch90tt_04.webp,False,remove_non_clean_bg,False,False,0.344299,0.494,0.0,0.0
tapetech_ch90tt_05.webp,False,remove_non_clean_bg,False,False,0.328613,0.637333,0.0,0.0
tapetech_ch90tt_06.webp,False,remove_non_clean_bg,False,False,0.550781,0.532,0.0,0.0
tapetech_ch90tt_07.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.026001,0.016
tapetech_ch90tt_08.webp,False,remove_non_clean_bg,False,False,0.0,0.0,0.091614,0.057333
