Part Identifier,Part Name,Source Dataset(s),Issue Type,Description,Suggested Action
CT13A,Shim - See CTA13,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT13A' (Shim - See CTA13) has near catalog match SKU 'CT-3A' (Columbia Taper Left Insert Bushing - CT3A (CT-3A)). Similarity may indicate same part with different SKU format.,Verify if 'CT13A' == 'CT-3A'; consolidate or correct SKU in catalog.
CT15,Ratchet Rod,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT15' (Ratchet Rod) has near catalog match SKU 'CT-125' (Columbia Taper Roller (CT-125)). Similarity may indicate same part with different SKU format.,Verify if 'CT15' == 'CT-125'; consolidate or correct SKU in catalog.
CT16,Brake Dog,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT16' (Brake Dog) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT16' == 'CT-6'; consolidate or correct SKU in catalog.
CT17,Separation Plate,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT17' (Separation Plate) has near catalog match SKU 'CT127' (Columbia Taper Extension Shaft Bracket (CT127)). Similarity may indicate same part with different SKU format.,Verify if 'CT17' == 'CT127'; consolidate or correct SKU in catalog.
CT23,Reinforcing Rod,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT23' (Reinforcing Rod) has near catalog match SKU 'CT-123' (Columbia Taper Retaining Spring Shaft (CT-123)). Similarity may indicate same part with different SKU format.,Verify if 'CT23' == 'CT-123'; consolidate or correct SKU in catalog.
CT26,Knife Guide Bracket - Right,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT26' (Knife Guide Bracket - Right) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT26' == 'CT-6'; consolidate or correct SKU in catalog.
CT27,Knife Guide Bracket - Left,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT27' (Knife Guide Bracket - Left) has near catalog match SKU 'CT127' (Columbia Taper Extension Shaft Bracket (CT127)). Similarity may indicate same part with different SKU format.,Verify if 'CT27' == 'CT127'; consolidate or correct SKU in catalog.
CT29A,Left Nylatron Chain Roller (large),Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT29A' (Left Nylatron Chain Roller (large)) has near catalog match SKU 'CT-29' (Columbia Taper Nylatron Chain Roller (CT-29)). Similarity may indicate same part with different SKU format.,Verify if 'CT29A' == 'CT-29'; consolidate or correct SKU in catalog.
CT31,Chain Tension & Guide Bracket,Columbia Parts Master,Missing From Catalog,Part 'CT31' (Chain Tension & Guide Bracket) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT31' or map it to an existing SKU.
CT32,Carriage Cam,Columbia Parts Master,Possible Mismatch / Near Match,"Parts Master part 'CT32' (Carriage Cam) has near catalog match SKU 'CMT32' (Columbia 32"" Drywall Corner Finishing Compound Mud Tube (CMT32)). Similarity may indicate same part with different SKU format.",Verify if 'CT32' == 'CMT32'; consolidate or correct SKU in catalog.
CT34-CL,Cam Lock Cap Side Block,Columbia Parts Master,Missing From Catalog,"Part 'CT34-CL' (Cam Lock Cap Side Block) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CT34-CL' or map it to an existing SKU.
CT35,Cap Reinforcing Tab,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT35' (Cap Reinforcing Tab) has near catalog match SKU 'CT-35R' (Columbia Taper Cap Reinforcing Tab (CT-35R)). Similarity may indicate same part with different SKU format.,Verify if 'CT35' == 'CT-35R'; consolidate or correct SKU in catalog.
CT36,Return Spring Tube,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT36' (Return Spring Tube) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT36' == 'CT-6'; consolidate or correct SKU in catalog.
CT37,Tube Holding Bracket - Lower,Columbia Parts Master,Missing From Catalog,Part 'CT37' (Tube Holding Bracket - Lower) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT37' or map it to an existing SKU.
CT38,Tube Holding Bracket - Upper,Columbia Parts Master,Missing From Catalog,Part 'CT38' (Tube Holding Bracket - Upper) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT38' or map it to an existing SKU.
CT40,Return Spring Ring,Columbia Parts Master,Missing From Catalog,Part 'CT40' (Return Spring Ring) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT40' or map it to an existing SKU.
CT42,Knife Blade,Columbia Parts Master,Possible Mismatch / Near Match,"Parts Master part 'CT42' (Knife Blade) has near catalog match SKU 'CMT42' (Columbia 42"" Drywall Corner Finishing Compound Mud Tube (CMT42)). Similarity may indicate same part with different SKU format.",Verify if 'CT42' == 'CMT42'; consolidate or correct SKU in catalog.
CT42A,Diamond Blade,Columbia Parts Master,Missing From Catalog,Part 'CT42A' (Diamond Blade) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT42A' or map it to an existing SKU.
CT48,Crimping Arm - Left,Columbia Parts Master,Missing From Catalog,"Part 'CT48' (Crimping Arm - Left) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CT48' or map it to an existing SKU.
CT50,Crimping Wheel Bushing,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT50' (Crimping Wheel Bushing) has near catalog match SKU 'CT-5' (Columbia Taper Right Wafer Bushing - CT5 (CT-5)). Similarity may indicate same part with different SKU format.,Verify if 'CT50' == 'CT-5'; consolidate or correct SKU in catalog.
CT51,Spacer Bar,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT51' (Spacer Bar) has near catalog match SKU 'CT-5' (Columbia Taper Right Wafer Bushing - CT5 (CT-5)). Similarity may indicate same part with different SKU format.,Verify if 'CT51' == 'CT-5'; consolidate or correct SKU in catalog.
CT54,Return Spring,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT54' (Return Spring) has near catalog match SKU 'CT-5' (Columbia Taper Right Wafer Bushing - CT5 (CT-5)). Similarity may indicate same part with different SKU format.,Verify if 'CT54' == 'CT-5'; consolidate or correct SKU in catalog.
CT55,Carriage Guide Rod,Columbia Parts Master,Possible Mismatch / Near Match,"Parts Master part 'CT55' (Carriage Guide Rod) has near catalog match SKU 'CLT55' (Columbia 55"" Cam-Lock Compound Mud Tube (CLT55)). Similarity may indicate same part with different SKU format.",Verify if 'CT55' == 'CLT55'; consolidate or correct SKU in catalog.
CT56,Carriage Guide Rod Stop,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT56' (Carriage Guide Rod Stop) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT56' == 'CT-6'; consolidate or correct SKU in catalog.
CT57,Tape Advance Carriage,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT57' (Tape Advance Carriage) has near catalog match SKU 'CT-5' (Columbia Taper Right Wafer Bushing - CT5 (CT-5)). Similarity may indicate same part with different SKU format.,Verify if 'CT57' == 'CT-5'; consolidate or correct SKU in catalog.
CT58,Guide Rod Bushing,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT58' (Guide Rod Bushing) has near catalog match SKU 'CT-5' (Columbia Taper Right Wafer Bushing - CT5 (CT-5)). Similarity may indicate same part with different SKU format.,Verify if 'CT58' == 'CT-5'; consolidate or correct SKU in catalog.
CT62,Needle Holding Shaft,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT62' (Needle Holding Shaft) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT62' == 'CT-6'; consolidate or correct SKU in catalog.
CT63,Needle,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT63' (Needle) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT63' == 'CT-6'; consolidate or correct SKU in catalog.
CT64,Needle Return Shaft,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT64' (Needle Return Shaft) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT64' == 'CT-6'; consolidate or correct SKU in catalog.
CT65,Needle Return Spring,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT65' (Needle Return Spring) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT65' == 'CT-6'; consolidate or correct SKU in catalog.
CT68,Hub,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT68' (Hub) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT68' == 'CT-6'; consolidate or correct SKU in catalog.
CT70,Drive Shaft,Columbia Parts Master,Missing From Catalog,Part 'CT70' (Drive Shaft) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT70' or map it to an existing SKU.
CT71,Drive Sprocket Small,Columbia Parts Master,Missing From Catalog,Part 'CT71' (Drive Sprocket Small) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT71' or map it to an existing SKU.
CT72,Cable,Columbia Parts Master,Missing From Catalog,Part 'CT72' (Cable) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT72' or map it to an existing SKU.
CT78,Drive Chain,Columbia Parts Master,Missing From Catalog,Part 'CT78' (Drive Chain) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT78' or map it to an existing SKU.
CT81,Clutch Return Spring,Columbia Parts Master,Missing From Catalog,Part 'CT81' (Clutch Return Spring) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT81' or map it to an existing SKU.
CT83,Clutch Dog,Columbia Parts Master,Missing From Catalog,"Part 'CT83' (Clutch Dog) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CT83' or map it to an existing SKU.
CT85,Clutch Release Shaft,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT85' (Clutch Release Shaft) has near catalog match SKU 'CT-085' (Columbia Taper Clutch Release Shaft (CT-085)). Similarity may indicate same part with different SKU format.,Verify if 'CT85' == 'CT-085'; consolidate or correct SKU in catalog.
CT87-CL,Cam Lock Taper Cap,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT87-CL' (Cam Lock Taper Cap) has near catalog match SKU 'CT-87CS' (Columbia Cover Plate Cork Seal (CT-87CS)). Similarity may indicate same part with different SKU format.,Verify if 'CT87-CL' == 'CT-87CS'; consolidate or correct SKU in catalog.
CT91,Release Clip Bushing,Columbia Parts Master,Missing From Catalog,Part 'CT91' (Release Clip Bushing) from section 'Old Assembly and Maintenance Kits' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT91' or map it to an existing SKU.
CT92,Release Clip,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT92' (Release Clip) has near catalog match SKU 'CT-92A' (Columbia Taper L Clip (CT-92A)). Similarity may indicate same part with different SKU format.,Verify if 'CT92' == 'CT-92A'; consolidate or correct SKU in catalog.
CT94,Mud Shut-Off Upper Plate,Columbia Parts Master,Missing From Catalog,Part 'CT94' (Mud Shut-Off Upper Plate) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT94' or map it to an existing SKU.
CT95,Control Valve,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT95' (Control Valve) has near catalog match SKU 'CT-5' (Columbia Taper Right Wafer Bushing - CT5 (CT-5)). Similarity may indicate same part with different SKU format.,Verify if 'CT95' == 'CT-5'; consolidate or correct SKU in catalog.
CT96,Mud Shut-Off Gasket,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT96' (Mud Shut-Off Gasket) has near catalog match SKU 'CT-6' (Columbia Taper Side Plate Right - CT6 (CT-6)). Similarity may indicate same part with different SKU format.,Verify if 'CT96' == 'CT-6'; consolidate or correct SKU in catalog.
CTA99-CL,Removable Cover Plate PinCam Lock Cap Release Pin Assembly (includes CT99-CS & CT100-CS),Columbia Parts Master,Missing From Catalog,"Part 'CTA99-CL' (Removable Cover Plate PinCam Lock Cap Release Pin Assembly (includes CT99-CS & CT100-CS)) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'CTA99-CL' or map it to an existing SKU.
CT99-CL,Cam Lock Cap Pin - See CTA99,Columbia Parts Master,Missing From Catalog,Part 'CT99-CL' (Cam Lock Cap Pin - See CTA99) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT99-CL' or map it to an existing SKU.
CT100-CL,Cam Lock Pin Lever - See CTA99,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT100-CL' (Cam Lock Pin Lever - See CTA99) has near catalog match SKU 'CT-100' (Columbia Removable Cover Plate Pin ring (CT-100)). Similarity may indicate same part with different SKU format.,Verify if 'CT100-CL' == 'CT-100'; consolidate or correct SKU in catalog.
CT107,Piston Body,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT107' (Piston Body) has near catalog match SKU 'CTA107' (Columbia Piston Assembly for Taper (CTA107)). Similarity may indicate same part with different SKU format.,Verify if 'CT107' == 'CTA107'; consolidate or correct SKU in catalog.
CT109,¼ -20 Hex Nut (Castle Nut),Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT109' (¼ -20 Hex Nut (Castle Nut)) has near catalog match SKU 'CT-19' (Columbia CT19 - Taper Paper Feed Guide (CT-19)). Similarity may indicate same part with different SKU format.,Verify if 'CT109' == 'CT-19'; consolidate or correct SKU in catalog.
CT110,Piston Cup Relief Washer,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT110' (Piston Cup Relief Washer) has near catalog match SKU 'CT10' (Columbia Taper Crimping Arm Bushing Right (CT10)). Similarity may indicate same part with different SKU format.,Verify if 'CT110' == 'CT10'; consolidate or correct SKU in catalog.
CT112,Slotted Bolt,Columbia Parts Master,Missing From Catalog,Part 'CT112' (Slotted Bolt) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT112' or map it to an existing SKU.
CT115,Guard Ring,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT115' (Guard Ring) has near catalog match SKU 'CT115A' (Columbia Taper Gasket New Style End Ring (CT115A)). Similarity may indicate same part with different SKU format.,Verify if 'CT115' == 'CT115A'; consolidate or correct SKU in catalog.
CT117A,Base-New,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT117A' (Base-New) has near catalog match SKU 'CT118A' (Columbia Retaining Spring Clip(Quick Realease) (CT118A)). Similarity may indicate same part with different SKU format.,Verify if 'CT117A' == 'CT118A'; consolidate or correct SKU in catalog.
CT119A,Retaining Spring Rubber Cap,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT119A' (Retaining Spring Rubber Cap) has near catalog match SKU 'CT-119' (Columbia Spool Retaining Spring (CT-119)). Similarity may indicate same part with different SKU format.,Verify if 'CT119A' == 'CT-119'; consolidate or correct SKU in catalog.
CT121A,O Ring,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT121A' (O Ring) has near catalog match SKU 'CT128A' (Columbia Taper Shaft Guide Roller Bushing (CT128A)). Similarity may indicate same part with different SKU format.,Verify if 'CT121A' == 'CT128A'; consolidate or correct SKU in catalog.
CT123A,Retaining Spring Shaft (New),Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT123A' (Retaining Spring Shaft (New)) has near catalog match SKU 'CT-123' (Columbia Taper Retaining Spring Shaft (CT-123)). Similarity may indicate same part with different SKU format.,Verify if 'CT123A' == 'CT-123'; consolidate or correct SKU in catalog.
CT126PA,Hand Grip Body Pump Action,Columbia Parts Master,Missing From Catalog,Part 'CT126PA' (Hand Grip Body Pump Action) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'CT126PA' or map it to an existing SKU.
CT124A,Grip Guard Ring Top,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT124A' (Grip Guard Ring Top) has near catalog match SKU 'CT14A' (Columbia Taper Adjustable Brake (CT14A)). Similarity may indicate same part with different SKU format.,Verify if 'CT124A' == 'CT14A'; consolidate or correct SKU in catalog.
CT124B,Grip Guard Ring Bottom,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CT124B' (Grip Guard Ring Bottom) has near catalog match SKU 'CT129B' (Columbia Taper Plastic Roller Sleeve (CT129B)). Similarity may indicate same part with different SKU format.,Verify if 'CT124B' == 'CT129B'; consolidate or correct SKU in catalog.
CPT125B,Teflon Threaded Insert,Columbia Parts Master,Possible Mismatch / Near Match,Parts Master part 'CPT125B' (Teflon Threaded Insert) has near catalog match SKU 'CT-125' (Columbia Taper Roller (CT-125)). Similarity may indicate same part with different SKU format.,Verify if 'CPT125B' == 'CT-125'; consolidate or correct SKU in catalog.
MP9C,Connecting Link,Columbia Parts Master,Missing From Catalog,Part 'MP9C' (Connecting Link) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'MP9C' or map it to an existing SKU.
FA199,2-56 x 3/16 Binder Slot,Columbia Parts Master,Missing From Catalog,Part 'FA199' (2-56 x 3/16 Binder Slot) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA199' or map it to an existing SKU.
FA200,1/16 x ¼ Split Pin,Columbia Parts Master,Missing From Catalog,"Part 'FA200' (1/16 x ¼ Split Pin) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA200' or map it to an existing SKU.
FA203,1/16 x ¾ Cotter Pin,Columbia Parts Master,Missing From Catalog,Part 'FA203' (1/16 x ¾ Cotter Pin) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA203' or map it to an existing SKU.
FA206,4/40 Hex Nut,Columbia Parts Master,Missing From Catalog,Part 'FA206' (4/40 Hex Nut) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA206' or map it to an existing SKU.
FA207,4-40 Nyloc Nut,Columbia Parts Master,Missing From Catalog,"Part 'FA207' (4-40 Nyloc Nut) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA207' or map it to an existing SKU.
FA210,"4/40 x 3/16""  Binder Slot",Columbia Parts Master,Missing From Catalog,"Part 'FA210' (4/40 x 3/16""  Binder Slot) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA210' or map it to an existing SKU.
FA212,4/40 x 3/16 Truss Slot,Columbia Parts Master,Missing From Catalog,Part 'FA212' (4/40 x 3/16 Truss Slot) from section 'If converting non quick release taper also comes with:' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA212' or map it to an existing SKU.
FA213,"4-40 x 1/4"" Binder Slot",Columbia Parts Master,Missing From Catalog,"Part 'FA213' (4-40 x 1/4"" Binder Slot) from section 'Old Assembly and Maintenance Kits' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA213' or map it to an existing SKU.
FA214,4/40 x ¼ Flat Slot,Columbia Parts Master,Missing From Catalog,"Part 'FA214' (4/40 x ¼ Flat Slot) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA214' or map it to an existing SKU.
FA218,4-40 x 3/8 Flat Slot,Columbia Parts Master,Missing From Catalog,Part 'FA218' (4-40 x 3/8 Flat Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA218' or map it to an existing SKU.
FA219,4-40 x ½ Fillister Slot,Columbia Parts Master,Missing From Catalog,Part 'FA219' (4-40 x ½ Fillister Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA219' or map it to an existing SKU.
FA226,6-32 x 3/16 Flat Slot,Columbia Parts Master,Missing From Catalog,Part 'FA226' (6-32 x 3/16 Flat Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA226' or map it to an existing SKU.
FA228,#6 Flat Washer,Columbia Parts Master,Missing From Catalog,Part 'FA228' (#6 Flat Washer) from section 'Old Assembly and Maintenance Kits' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA228' or map it to an existing SKU.
FA229,#6 Lock Washer,Columbia Parts Master,Missing From Catalog,Part 'FA229' (#6 Lock Washer) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA229' or map it to an existing SKU.
FA230,#6 Star Washer,Columbia Parts Master,Missing From Catalog,Part 'FA230' (#6 Star Washer) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA230' or map it to an existing SKU.
FA233,6-32 Nyloc Nut,Columbia Parts Master,Missing From Catalog,Part 'FA233' (6-32 Nyloc Nut) from section 'Old Assembly and Maintenance Kits' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA233' or map it to an existing SKU.
FA236,6-32 x 1/8 Binder Slot,Columbia Parts Master,Missing From Catalog,Part 'FA236' (6-32 x 1/8 Binder Slot) from section 'Unknown' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA236' or map it to an existing SKU.
FA238,6-32 x 3/16 Fillister Slot,Columbia Parts Master,Missing From Catalog,Part 'FA238' (6-32 x 3/16 Fillister Slot) from section 'Old Assembly and Maintenance Kits' exists in Parts Master but has NO matching product in wp-catalog.,Create a catalog entry for part number 'FA238' or map it to an existing SKU.
FA239,6-32 x ¼ Binder Slot,Columbia Parts Master,Missing From Catalog,"Part 'FA239' (6-32 x ¼ Binder Slot) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA239' or map it to an existing SKU.
FA241,6-32 x 3/8 Binder Slot,Columbia Parts Master,Missing From Catalog,"Part 'FA241' (6-32 x 3/8 Binder Slot) from section 'PARTS LISTED BELOW ARE EXCLUSIVE TO THE 1ST GENERATION PTAPER, FOR ALL OTHER PTAPER PARTS SEE ABOVE' exists in Parts Master but has NO matching product in wp-catalog.",Create a catalog entry for part number 'FA241' or map it to an existing SKU.
